역명,역사위치경도,역사위치위도
구성역,127.105664,37.298969
죽전역,127.107395,37.324753
보정역,127.108196,37.312752
이매역,127.128248,37.395371
오리역,127.108942,37.339824
미금역,127.10891,37.350077
정자역,127.10807,37.365994
수내역,127.114322,37.378455
서현역,127.123592,37.385126
야탑역,127.128715,37.411185
모란역,127.129104,37.432052
태평역,127.127709,37.440019
가천대역,127.126697,37.448605
선정릉역,127.043677,37.510735
강남구청역,127.041151,37.517469
압구정로데오역,127.040534,37.527381
서울숲역,127.044707,37.543617
수원역,126.999422,37.265917
도화역,126.668672,37.46607
중동역,126.764843,37.486562
온수(성공회대입구)역,126.824086,37.492433
도원역,126.642706,37.468446
간석역,126.694181,37.464737
부개역,126.74109,37.488418
소사역,126.79544,37.482753
구일역,126.870793,37.496756
인천역,126.616801,37.476079
동인천역,126.632802,37.475276
제물포역,126.656666,37.466769
주안역,126.679742,37.465047
동암역,126.702896,37.471408
백운역,126.707704,37.483664
부평역,126.724506,37.489445
송내역,126.753664,37.4876
부천역,126.782686,37.48405
역곡역,126.811502,37.485178
오류동역,126.845365,37.494526
개봉역,126.85968,37.494594
수리산역,126.925365,37.349801
오이도역,126.738714,37.362357
정왕역,126.742989,37.351735
신길온천역,126.765844,37.338212
안산역,126.788532,37.327082
초지역,126.805913,37.320646
고잔역,126.823144,37.316784
중앙역,126.838573,37.315941
한대앞역,126.85344,37.309689
상록수역,126.866489,37.302795
반월역,126.903524,37.312212
대야미역,126.917332,37.328467
산본역,126.933274,37.358101
광명역,126.884466,37.416182
서동탄역,127.051672,37.195504
당정역,126.948345,37.344285
천안역,127.146826,36.810005
두정역,127.14896,36.833705
직산역,127.143904,36.870593
성환역,127.126964,36.916076
평택역,127.085159,36.990726
지제역,127.070444,37.0188
서정리역,127.052819,37.056496
송탄역,127.054301,37.075696
진위역,127.062278,37.109447
오산역,127.06672,37.145885
오산대역,127.063197,37.168953
세마역,127.04318,37.187533
병점역,127.032731,37.207503
세류역,127.013222,37.245025
독산역,126.889249,37.466613
수원역,126.999561,37.266348
화서역,126.989627,37.283862
성균관대역,126.97075,37.300349
의왕역,126.948217,37.320852
군포역,126.948462,37.35356
금정역,126.943429,37.372221
명학역,126.935433,37.384653
안양역,126.922874,37.401592
관악역,126.908706,37.419232
석수역,126.902295,37.435047
금천구청역,126.89398,37.455626
가산디지털단지역,126.882581,37.481581
구로역,126.881966,37.503039
여주역,127.628816,37.282308
세종대왕릉역,127.570938,37.295309
부발역,127.490277,37.260192
이천역,127.44226,37.265579
신둔도예촌역,127.40476,37.317185
곤지암역,127.34674,37.351315
초월역,127.299,37.374419
경기광주역,127.25263,37.399907
삼동역,127.20336,37.409522
이매역,127.127819,37.394655
판교역,127.111217,37.394761
금정역,126.943417,37.372209
범계역,126.950806,37.389793
평촌역,126.963883,37.394287
인덕원역,126.976715,37.401553
정부과천청사역,126.98978,37.426513
과천역,126.996568,37.433021
대공원역,127.006523,37.435675
경마공원역,127.007888,37.443885
선바위역,127.002303,37.451673
신창(순천향대)역,126.951108,36.769502
온양온천역,127.003249,36.780483
배방역,127.052991,36.777629
탕정역,127.08485,36.78866
아산역,127.104361,36.792053
쌍용(나사렛대)역,127.1214,36.793759
봉명역,127.135763,36.801215
춘천역,127.717023,37.885054
남춘천역,127.723792,37.864007
김유정역,127.71434,37.818466
강촌역,127.634146,37.805723
백양리역,127.58933,37.830779
굴봉산역,127.557695,37.832067
가평역,127.510739,37.814536
상천역,127.454821,37.770246
청평역,127.42661,37.735488
대성리역,127.379319,37.684071
마석역,127.311767,37.652782
천마산역,127.285379,37.658978
평내호평역,127.244493,37.653225
금곡역,127.207853,37.637382
사릉역,127.176933,37.65108
퇴계원역,127.143952,37.648311
별내역,127.12684,37.64202
갈매역,127.114757,37.634118
신내역,127.103218,37.612887
디지털미디어시티역,126.900453,37.577475
홍대입구역,126.926683,37.557641
공덕역,126.952099,37.542596
서울역,126.97103,37.557231
임진강역,126.746765,37.888421
문산역,126.788047,37.854619
파주역,126.792783,37.815298
월롱역,126.792587,37.796188
금촌역,126.774644,37.766217
금릉역,126.765347,37.751322
운정역,126.767257,37.725826
