단지명,전용면적,위도,경도,지하철역까지(m),환율,맛집,문화공간,문화재,쇼핑,버스정류장까지(m),버스정류장,금리,보증금고려월세,지하철역,소비자물가지수,종합주가지수,주택담보대출금리,예측일일가격,예측월세가격,기존월세가격,월수입차액,주소
남산타운,84.88,37.54716677,127.0056772,153.7732237,1189.9,30,13,28,6,38.78579685,버티고개,1.25,200.8333333,버티고개역,104.69,2865.55,2.82,34.78307,365.22223,200.8333333,164.38889570390626,서울특별시 중구 신당동
묵정,52.46,37.56070747,127.0000607,522.9444305,1303.1,115,37,59,31,185.8641739,퇴계로5가,2.5,84.16666667,동대입구역,108.62,2479.57,3.27,23.328573,244.95001,84.16666667,160.78334553703127,서울특별시 중구 묵정동
남산타운,59.94,37.54716677,127.0056772,153.7732237,1404.2,30,13,28,6,38.78579685,버티고개,3.0,127.5,버티고개역,109.21,2230.27,3.52,27.426527,287.97855,127.5,160.47854614257812,서울특별시 중구 신당동
신당KCC스위첸,72.9906,37.56333277,127.0245094,442.7768232,1404.2,18,7,4,16,120.5408259,금호베스트빌.래미안하이베르,3.0,215.0,상왕십리역,109.21,2230.27,3.52,35.634876,374.1662,215.0,159.16619873046875,서울특별시 중구 신당동
서울역한라비발디센트럴,84.9774,37.55457358,126.9658471,376.5303457,1236.4,67,24,65,4,37.00312507,손기정체육공원입구,1.5,246.25,서울역,106.85,2703.24,2.98,38.59045,405.1997,246.25,158.94970703125,서울특별시 중구 만리동2가
청구e편한세상,84.95,37.55996016,127.015451,148.0705762,1197.1,63,20,29,31,70.23484134,청구역,1.25,220.8333333,청구역,105.3,2724.02,2.88,36.080246,378.84256,220.8333333,158.00922651445313,서울특별시 중구 신당동
삼성,59.98,37.55853588,127.0184475,472.8633598,1197.1,55,17,24,29,25.03257628,신당동삼성아파트.금호여중,1.25,111.0416667,신금호역,105.3,2724.02,2.88,25.578516,268.5744,111.0416667,157.53273515546874,서울특별시 중구 신당동
청구e편한세상,147.89,37.55996016,127.015451,148.0705762,1393.6,63,20,29,31,70.23484134,청구역,2.5,214.5833333,청구역,108.93,2333.93,3.38,35.43444,372.0616,214.5833333,157.47828169023438,서울특별시 중구 신당동
남산타운,84.88,37.54716677,127.0056772,153.7732237,1340.0,30,13,28,6,38.78579685,버티고개,3.25,233.5416667,버티고개역,109.1,2417.56,3.62,37.207123,390.67477,233.5416667,157.13310746992187,서울특별시 중구 신당동
삼성홈타운,52.59,37.56276522,127.0168769,381.6185557,1338.4,50,16,26,30,157.3067664,신당동떡볶이타운.중구여성플라자,3.25,113.5416667,신당역,109.1,2417.56,3.62,25.761497,270.49573,113.5416667,156.9540608390625,서울특별시 중구 신당동
