단지명,전용면적,계약년도,계약일,보증금,월세,층,위도,경도,지하철역,지하철거리,500m음식점수,계약날짜,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장,금리,보증금고려월세
약수하이츠,84.87999999999998,2022-01-01,22,10000.0,145,4,37.5551915990934,127.016359379417,신금호역,358.1312622656157,4,2022/01/22,1190.4,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중,1.25,155.41666666666666
약수하이츠,57.63,2022-01-01,22,10000.0,105,8,37.5551915990934,127.016359379417,신금호역,358.1312622656157,4,2022/01/22,1190.4,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중,1.25,115.41666666666669
서울역한라비발디센트럴,71.9832,2022-01-01,22,5000.0,200,12,37.55457358286571,126.965847056196,서울역,376.5303456813306,89,2022/01/22,1190.4,2,2,5,0,67,24,65,4,37.0031250698845,손기정체육공원입구,1.25,205.20833333333331
남산타운,59.94,2022-01-01,22,30000.0,80,2,37.5471667734011,127.005677166122,버티고개역,153.7732236879109,27,2022/01/22,1190.4,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,1.25,111.25
남산타운,84.87999999999998,2022-01-01,22,50000.0,100,10,37.5471667734011,127.005677166122,버티고개역,153.7732236879109,27,2022/01/22,1190.4,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,1.25,152.08333333333334
파크원빌,13.51,2022-01-01,22,1000.0,60,7,37.560367072421,127.004543530031,동대입구역,173.3487208435671,123,2022/01/22,1190.4,16,6,13,5,87,29,50,29,101.49308138878293,장충동.동국대입구,1.25,61.04166666666666
더플레이스충정로,15.12,2022-01-01,22,1000.0,64,2,37.558980785321,126.966068233101,충정로(경기대입구)역,169.5458754048524,129,2022/01/22,1190.4,10,4,16,0,90,31,86,5,152.21828755716365,종근당.충정로역,1.25,65.04166666666667
서울역센트럴자이,59.943,2022-01-01,24,40000.0,150,13,37.5547800420518,126.964458224138,충정로(경기대입구)역,546.5467807347819,101,2022/01/24,1193.6,1,2,4,0,47,20,55,4,161.22384425777142,손기정체육공원입구,1.25,191.66666666666663
리마크빌동대문,24.96,2022-01-01,24,1000.0,90,11,37.565794853643695,127.016623843671,신당역,58.061356897640906,140,2022/01/24,1193.6,10,5,0,10,43,14,17,31,187.3336720760136,신당역.중앙시장앞,1.25,91.04166666666669
신당아르브,18.08,2022-01-01,24,3000.0,55,5,37.5649742650674,127.023319283742,신당역,335.5910715414943,76,2022/01/24,1193.6,8,0,1,1,24,8,4,23,71.16580967699376,신당초등학교앞,1.25,58.125
서울역센트럴자이,59.943,2022-01-01,24,40000.0,150,13,37.5547800420518,126.964458224138,충정로(경기대입구)역,546.5467807347819,101,2022/01/24,1193.6,1,2,4,0,47,20,55,4,161.22384425777142,손기정체육공원입구,1.25,191.66666666666663
대우디오빌,73.86,2022-01-01,24,10000.0,140,10,37.5550198699539,126.967199040035,서울역,300.47515523891445,91,2022/01/24,1193.6,2,2,10,0,69,27,69,4,106.44698287229602,손기정체육공원입구,1.25,150.41666666666666
약수하이츠,84.87999999999998,2022-01-01,25,5000.0,180,11,37.5551915990934,127.016359379417,신금호역,358.1312622656157,4,2022/01/25,1194.2,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중,1.25,185.20833333333331
청구e편한세상,84.95999999999998,2022-01-01,25,40000.0,120,5,37.5599601596254,127.015451019186,청구역,148.0705761514984,96,2022/01/25,1194.2,4,1,1,0,63,20,29,31,70.23484133934264,청구역,1.25,161.66666666666666
브라운스톤(355-0),84.878,2022-01-01,25,5000.0,280,22,37.560818788728895,126.968225883547,충정로(경기대입구)역,361.7916452355358,217,2022/01/25,1194.2,14,4,17,0,120,35,90,8,23.8510160033185,한국경제신문사.서소문역사공원,1.25,285.2083333333333
약수하이츠,84.87999999999998,2022-01-01,25,20000.0,128,6,37.5551915990934,127.016359379417,신금호역,358.1312622656157,4,2022/01/25,1194.2,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중,1.25,148.83333333333334
서울역한라비발디센트럴,71.9832,2022-01-01,25,30000.0,165,2,37.55457358286571,126.965847056196,서울역,376.5303456813306,89,2022/01/25,1194.2,2,2,5,0,67,24,65,4,37.0031250698845,손기정체육공원입구,1.25,196.25
파크원빌,13.12,2022-01-01,26,1000.0,60,3,37.560367072421,127.004543530031,동대입구역,173.3487208435671,123,2022/01/26,1197.8,16,6,13,5,87,29,50,29,101.49308138878293,장충동.동국대입구,1.25,61.04166666666666
